Brand_Name,Product_Name,Price
Mannajue,Yeston Nvidia GeForce GTX 1050 Ti Graphics Card  4GB 128-Bit GDDR5 PCI Express 3.0 x16 video cards DVI-D/HDMI/DP Tri-Ports |  G-Sync |  GPU Boost |  DirectX 12 |  Gaming GPU |  Desktop Video Card,169.00
GIGABYTE,Yeston GeForce GTX 1660  Super-6G  GDDR6  6GB 192Bit Graphics cards Nvidia pci express x16 3.0 video cards Desktop computer PC video gaming graphics card,239.00
MSI,Yeston GeForce GT 1030 4GB DDR4 LP Graphics cards Nvidia pci express 3.0 video cards Included Low Profile Bracket Single slot graphics card Desktop computer PC video gaming graphics card,109.00
Mannajue,GeForce RTX 2060 SUPER 8GB GDDR6 PCI Express 3.0 x16 Video Card RTX 2060 SUPER 8G,269.99
ASUS,GIGABYTE GeForce RTX 4070 Ti EAGLE OC 12G Graphics Card |  3x WINDFORCE Fans |  12GB 192-bit GDDR6X |  GV-N407TEAGLE OC-12GD Video Card,849.99
GIGABYTE,MSI Gaming (MSI) GeForce RTX 4070 Ti 12GB GDDR6X PCI Express 4.0 Video Card RTX 4070 Ti GAMING X TRIO 12G,849.99
MSI,GAMING GeForce GTX 1660 6GB GDDR5 192-bit Gaming Graphics Card |  Super Compact,169.99
ZOTAC,ASUS ROG Strix NVIDIA GeForce RTX 4070 Ti OC Edition Gaming Graphics Card (PCIe 4.0 |  12GB GDDR6X |  HDMI 2.1a |  DisplayPort 1.4a),"1,049.99"
Mannajue,GIGABYTE GeForce RTX 4070 Ti AERO OC 12G Graphics Card |  3x WINDFORCE Fans |  12GB 192-bit GDDR6X |  GV-N407TAERO OC-12GD Video Card,899.99
MSI,MSI Ventus GeForce RTX 4070 Ti 12GB GDDR6X PCI Express 4.0 Video Card RTX 4070 Ti VENTUS 3X 12G,799.99
MSI,ZOTAC GAMING GeForce RTX 4070 Ti Trinity OC DLSS 3 12GB GDDR6X 192-bit 21 Gbps PCIE 4.0 Gaming Graphics Card |  IceStorm 2.0 Advanced Cooling |  SPECTRA 2.0 RGB Lighting |  ZT-D40710J-10P,849.99
Mannajue,RTX 2060 SUPER-8G D6 PA GDDR6 Graphics cards Nvidia pci express x16 3.0 video cards Desktop computer PC video gaming graphics card,269.99
MSI,MSI Ventus GeForce RTX 3060 12GB GDDR6 PCI Express 4.0 Video Card RTX 3060 Ventus 2X 12G OC,369.99
Mannajue,MSI Suprim GeForce RTX 4070 Ti 12GB GDDR6X PCI Express 4.0 Video Card RTX 4070 Ti SUPRIM X 12G,899.99
GIGABYTE,Graphics HD7450 2GB GDDR3 64 Bit PCIE 2.0 HDMI-Compatible+VGA+DVI Interface Video Card with Cooling Fan,49.99
GIGABYTE,MSI Ventus GeForce RTX 4070 Ti 12GB GDDR6X PCI Express 4.0 Video Card RTX 4070 Ti VENTUS 3X 12G OC,829.99
Mannajue,GeForce GTX 1660 SUPER  6GB Edition PINK GPU HDMI DP DVI Gaming Graphics Card,199.99
MSI,GIGABYTE GeForce RTX 4070 Ti GAMING OC 12G Graphics Card |  3x WINDFORCE Fans |  12GB 192-bit GDDR6X |  GV-N407TGAMING OC-12GD Video Card,899.99
Mannajue,GIGABYTE Gaming OC GeForce RTX 3070 8GB GDDR6 PCI Express 4.0 ATX Video Card GV-N3070GAMING OC-8GD (rev. 2.0) (LHR),628.00
Mannajue,GeForce RTX 2060 6G Graphics Card GDDR6 PCI Express 3.0 Video Card Dual-fan Edition HDMI DP Gpu,219.99
GIGABYTE,MSI Gaming (MSI) GeForce RTX 4090 24GB GDDR6X PCI Express 4.0 Video Card RTX 4090 GAMING X TRIO 24G,"2,099.00"
MSI,GeForce GTX 970 4GB GDDR5 256BIT PCI Express 3.0 16X Support Video Card Play for LOL | PUBG | OW | War Thunder etc.,179.99
GIGABYTE,GeForce GTX 1660 SUPER 6GB GDDR6 PCI Express 3.0 x16 Video Card GTX 1660 SUPER,189.99
MSI,GIGABYTE GAMING OC GeForce RTX 4080 16GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N4080GAMING OC-16GD,"1,269.99"
GIGABYTE,MSI Suprim GeForce RTX 4090 24GB GDDR6X PCI Express 4.0 Video Card RTX 4090 SUPRIM LIQUID X 24G,"2,229.99"
MSI,GIGABYTE Gaming OC GeForce RTX 3060 Ti 8GB GDDR6 PCI Express 4.0 ATX Video Card GV-N306TGAMING OC-8GD REV 2.0 (LHR),459.99
Peladn,MSI Gaming (MSI) GeForce RTX 4080 16GB GDDR6X PCI Express 4.0 Video Card RTX 4080 16GB GAMING X TRIO,"1,324.99"
yeston,GIGABYTE Gaming (GIGABYTE) GeForce RTX 4090 24GB GDDR6X PCI Express 4.0 x16 ATX Video Card GV-N4090GAMING OC-24GD,"2,224.99"
Sapphire Tech,MSI Suprim X GeForce RTX 4080 16GB GDDR6X PCI Express 4.0 Video Card RTX 4080 16GB SUPRIM X,"1,679.99"
ASUS,Peladn Gaming RTX3070 8G Graphics Card GDDR6 RGB Lighting PCI Express 4.0 Video Card Triple-fan Edition,479.00
ASUS,Yeston RTX 3080 10GB GDDR6X 320bit LHR Graphics cards Nvidia pci express x16 4.0 HDMI 2.1*1 + DP1.4a*3 video cards Desktop computer PC video gaming graphics card,769.00
MSI,SAPPHIRE Radeon RX 7900 XT 20GB GDDR6 PCI Express 4.0 Video Card 21323-01-20G,899.99
ZOTAC,ASUS TUF Gaming NVIDIA GeForce RTX 4090 OC Edition Video Card (PCIe 4.0 |  24GB GDDR6X |  HDMI 2.1 |  DisplayPort 1.4a |  GPU Tweak) TUF-RTX4090-O24G-GAMING,"2,351.99"
MSI,ASUS ROG Strix NVIDIA GeForce RTX 3080 OC Edition Gaming Graphics Card (PCIe 4.0 |  12GB GDDR6X |  LHR |  HDMI 2.1 |  DisplayPort 1.4a |  Axial-tech Fan Design |  2.9-slot |  Super Alloy Power II |  GPU Tweak II),"1,410.00"
MSI,MSI Ventus GeForce RTX 3060 8GB GDDR6 PCI Express 4.0 ATX Video Card RTX 3060 VENTUS 2X 8G OC,339.99
